ABWEILER;BETTEMBURG;BANNHECK;BANNHECK
ABWEILER;BETTEMBURG;BOURGBIERG;BOURGBERG
ABWEILER;BETTEMBURG;BRETWIES;BREITWIES
ABWEILER;BETTEMBURG;DAR;DAHR
ABWEILER;BETTEMBURG;DRECKEGFELD;DRECKIGFELD
ABWEILER;BETTEMBURG;FLOUSHECK;FLACHSHECK
ABWEILER;BETTEMBURG;FAESCHHECK;FAESCHHECK
ABWEILER;BETTEMBURG;FROENKLAPP;FRAUENKLAPP
ABWEILER;BETTEMBURG;GRÖNNCHEN;GRÜNDCHEN
ABWEILER;BETTEMBURG;BAKELTER;BACHELTER
ABWEILER;BETTEMBURG;BOURGRONN;BOURGRUND
ABWEILER;BETTEMBURG;BRILL;BRILL
ABWEILER;BETTEMBURG;HAREPILLCHEN;HARENPILLCHEN
ABWEILER;BETTEMBURG;HAUCHENWEIHER;HAUCHENWEIHER
ABWEILER;BETTEMBURG;HOLLESTRACHEN;HOLLESTRACHEN
ABWEILER;BETTEMBURG;KAELTCHEN;KAELTCHEN
ABWEILER;BETTEMBURG;KIEREL;KIEREL
ABWEILER;BETTEMBURG;LAMETERBÖSCH;LAMETTERBÜSCH
ABWEILER;BETTEMBURG;LOUHSCHEIER;LOHSCHEUER
ABWEILER;BETTEMBURG;NECKELSBESCH;NICKELSBÜSCH
ABWEILER;BETTEMBURG;RIETGEN;RETTGEN
ABWEILER;BETTEMBURG;ROUDFELD;RODFELD
ABWEILER;BETTEMBURG;ROUTREISER;ROTHREISER
ABWEILER;BETTEMBURG;SCHOENHECK;SCHOENHECK
ABWEILER;BETTEMBURG;STÉNGSSTRACHEN;STEINENSTRACHEN
ABWEILER;BETTEMBURG;WEIERFELD;WEIHERFELD
ABWEILER;BETTEMBURG;DITTGESWEIER;DITCHESWEIHER
ABWEILER;BETTEMBURG;DUORF;ABWEILER
ABWEILER;BETTEMBURG;FELDCHEN;FELDCHEN
ABWEILER;BETTEMBURG;FIESCHTE GIELESCHBÖSCH;VORDERSTEN GIELESCHBÜSCH
ABWEILER;BETTEMBURG;GIELESCHBÖSCH;GIELESCHBÜSCH
ABWEILER;BETTEMBURG;GRÖNSCHHECK;GRINSCHHECK
ABWEILER;BETTEMBURG;HECK;HECK
ABWEILER;BETTEMBURG;HIERCHESBIERG;HERCHESBERG
ABWEILER;BETTEMBURG;JONGEBESCH;JUNGENBÜSCH
